,title,url,date,summary
18, Mais um sensitivo afirma Lula será preso Temer segue até 2018 Lava Jato continua e Renan perderá o mandato ,https://www.diariodobrasil.org/mais-um-sensitivo-afirma-lula-sera-preso-temer-segue-ate-2018-lava-jato-continua-e-renan-perdera-o-mandato01/,0,Rodrigo Tudor é considerado o sensitivo de maior credibilidade do Brasil Com apenas 30 anos de idade o jovem é reconhecido pelo alto grau de 
19, Nobel de Literatura diz que Lula é a fonte de corrupção em todo o Brasil Ele gangrenou a democracia ,https://www.diariodobrasil.org/nobel-de-literatura-diz-que-lula-e-a-fonte-de-corrupcao-em-todo-o-brasil-ele-gangrenou-a-democracia/,0,Mario Vargas Llosa Nobel de Literatura disse que considera saudável que o Brasil passe pela crise política atual Na minha opinião o que está acontecendo com o 
20, Presidente do PT elogia decisão que deu liberdade a Bruno e diz que é hora de soltar José Dirceu e Vaccari ,https://www.diariodobrasil.org/presidente-do-pt-elogia-decisao-que-deu-liberdade-a-bruno-e-diz-que-e-hora-de-soltar-jose-dirceu-e-vaccari/,0,O presidente do PT publicou artigo defendendo que Vaccari Neto José Dirceu e Antonio Palocci sejam soltos O trio de corruptos está preso em Curitiba 
21, O texto que bombou nas redes sociais Jamais vou entender o Carnaval Porque você está alegre otário ,https://www.diariodobrasil.org/o-texto-que-bombou-nas-redes-sociais-jamais-vou-entender-o-carnaval-porque-voce-esta-alegre-otario/,0,O texto abaixo é de um internauta anônimo e durante os últimos 4 dias viralizou nas redes sociais Jamais vou entender este fenômeno chamado Carnaval 
22, General do Exército alerta O governo foi negligente e o Brasil corre o risco de perder a soberania ,https://www.diariodobrasil.org/general-do-exercito-alerta-o-governo-foi-negligente-e-o-brasil-corre-o-risco-de-perder-a-soberania07/,0,O general Geraldo Antonio Miotto comandante militar da Amazônia deu o alerta Em palestra durante o 3º Congresso Internacional do Centro Celso Furtado realizado em Manaus o 
23, Mãe do cantor Victor revelou que Poliana estava nervosa quebrou coisas e se jogou no chão ,https://www.diariodobrasil.org/mae-do-cantor-victor-revelou-que-poliana-estava-nervosa-quebrou-coisas-e-se-jogou-no-chao/,0,Mesmo após mudar sua versão e soltar uma nota nas redes sociais a esposa do cantor Victor Chaves ainda não retirou a queixa contra o 
24, Léo publica mensagem de apoio para Victor A vida propõe pódio e derrotas Vamos em frente meu irmão ,https://www.diariodobrasil.org/leo-publica-mensagem-de-apoio-para-victor-a-vida-propoe-podio-e-derrotas-vamos-em-frente-meu-irmao/,0,O cantor Léo Chaves irmão de Victor e parceiro na dupla sertaneja publicou uma mensagem de apoio em seu instagram Léo fala sobre o irmão 
25, Esposa de sertanejo publica carta nas redes sociais Victor não me machucou e nunca me machucaria ,https://www.diariodobrasil.org/esposa-de-sertanejo-publica-carta-nas-redes-sociais-victor-nao-me-machucou-e-nunca-me-machucaria/,0,Em um comunicado feito na rede social Poliana Chaves alega que fez exame de corpo delito para comprovar a ausência de agressão física Laudo do IML não 
26, Jornais de grande circulação apontam Vladimir Putin como imortal e anticristo ,https://www.diariodobrasil.org/jornais-de-grande-circulacao-apontam-vladimir-putin-como-imortal-e-anticristo06/,0,Teorias da Conspiração sempre fizeram parte da história da humanidade Com a disseminação da internet após meados dos anos 90 o que antes só aparecia em 
27, Globo edita The Voice Kids e corta participação de Victor Chaves Repudiamos qualquer forma de violência ,https://www.diariodobrasil.org/globo-edita-the-voice-kids-e-corta-participacao-de-victor-chaves-repudiamos-qualquer-forma-de-violencia26/,0,A emissora decidiu editar o programa de hoje e cortou os trechos em que os jurados Victor e Léo aparecem O The Voice Kids é 
